ID	Parent1	Parent2	Sex	pat_hed_xcd	pat_hed_ycd	pat_hed_scv	pat_hed_sch	pat_ctr_xcd	pat_ctr_ycd	pat_ctr_scv	pat_ctr_sch	pat_tal_xcd	pat_tal_ycd	pat_tal_scv	pat_tal_sch	pat_scl_thr	col_hed_lmv	col_hed_rgv	col_hed_byv	col_ctr_lmv	col_ctr_rgv	col_ctr_byv	col_tal_lmv	col_tal_rgv	col_tal_byv	col_mac_lmv	col_mac_rgv	col_mac_byv	col_shd_lmv	col_shd_rgv	col_shd_byv	grd_hed_rad	grd_hed_ycd	grd_hed_sig	grd_hed_val	grd_ctr_sft	grd_ctr_thr	grd_ctr_blr	grd_ctr_val	grd_tal_rad	grd_tal_ycd	grd_tal_sig	grd_tal_val	csd_grd_sig	csd_grd_thr	eem_int_lvl	eem_int_rto	eem_sig_lvl	eem_sig_rto	eem_exp_lvl	eem_exp_rto	spk_hed_sig	spk_hed_lvl	spk_tal_sig	spk_tal_lvl
Gen31_Mut0_ID10	Gen29_Mut0_ID3	Gen20_Mut0_ID11	-	0.2257	0.5548	0.9235	0.5767	0.8966	0.4700	0.5260	0.9274	0.5444	0.0544	0.6223	0.2946	0.0733	0.3826	0.3655	0.3902	0.5188	0.5391	0.1661	0.0202	0.6472	0.0732	0.3418	0.4485	0.2946	0.2519	0.6264	0.2931	0.2236	0.5555	0.9075	0.5665	0.0606	0.9573	0.1681	0.5776	0.5465	0.0728	0.6216	0.3149	0.9448	0.2982	0.1788	0.1957	0.4679	0.4274	0.7687	0.8533	0.6206	0.2258	0.8854	0.3378
Gen31_Mut0_ID11	Gen20_Mut0_ID11	Gen29_Mut0_ID3	-	0.2467	0.6498	0.8421	0.5557	0.9291	0.4845	0.5260	0.7374	0.5480	0.0248	0.6142	0.1630	0.1073	0.4749	0.3542	0.3221	0.6246	0.4898	0.2725	0.1147	0.5656	0.3538	0.2568	0.3857	0.3812	0.2833	0.3638	0.2665	0.0924	0.7082	0.4659	0.1556	0.0119	0.9720	0.1612	0.5752	0	0.6841	0.5453	0.1626	0.9575	0.5233	0.0797	0.2879	0.4668	0.4647	0.2220	0.8609	0.6111	0.2797	0.8281	0.2934
Gen31_Mut0_ID12	Gen28_Mut0_ID6	Gen25_Mut0_ID15	-	0.1836	0.5504	0.8061	0.7253	0.9350	0.4833	0.4055	0.5511	0.5499	0.0943	0.5928	0.1976	0	0.3871	0.3599	0.3221	0.6070	0.4826	0.3687	0.0202	0.2411	0.3654	0.3713	0.4236	0.3187	0.2568	0.8025	0.4289	0.2099	0.8200	0.4393	0.0522	0.0396	0.9606	0.1694	0.5776	0.3946	0.6355	0.5691	0.9248	0.9625	0.6063	0.0816	0.1957	0.4381	0.6198	0.4082	0.8527	0.5667	0.2106	0.8750	0.2490
Gen31_Mut0_ID13	Gen25_Mut0_ID15	Gen28_Mut0_ID6	-	0.3452	0.6470	0.9607	0.7540	0.9291	0	0.3327	0.2583	0.6383	0.0691	0.6223	0.1692	0.0381	0.4745	0.3655	0.3902	0.6748	0.5192	0.3888	0.0555	0.4351	0.1521	0.3357	0.4117	0.3187	0.2563	0.5610	0.3301	0.2761	0.6488	0.5035	0.1944	0.0219	1	0.6170	0.2484	0	0.6990	0.6678	0.2212	0.9642	0.1857	0.1034	0.2874	0.4584	0.4475	0.7609	0.8566	0.6175	0.2497	0.8153	0.5470
Gen31_Mut0_ID14	Gen30_Mut0_ID8	Gen30_Mut0_ID6	-	0.2647	0.6498	0.8076	0.6701	0.9291	0.4845	0.5318	0.9588	0.5507	0.0248	0.6032	0.1792	0.1471	0.5190	0.3533	0.3902	0.5191	0.6131	0.3809	0.0555	0.5808	0.4085	0.3988	0.4217	0.4429	0.2525	0.3621	0.2337	0.3667	0.7713	0.4206	0.1757	0.0142	0.9736	0.2216	0.5754	0.0246	0.5947	0.6590	0.2487	0.9625	0.4890	0.1788	0.2672	0.8314	0.8186	0.8380	0.8186	0.6898	0.2043	0.7772	0.2145
Gen31_Mut0_ID15	Gen30_Mut0_ID6	Gen30_Mut0_ID8	-	0.3756	0.5127	0.8064	0.4475	0.9350	0.4477	0.5202	0.9497	0.5482	0.0248	0.6142	0.1818	0	0.2462	0.4006	0.3265	0.5360	0.5217	0.2770	0.0559	0.7053	0.1676	0.2841	0.4178	0.2682	0.2519	0.7764	0.1601	0.1337	0.6437	0.5021	0.3412	0.0169	0.9924	0.1238	0.2590	0.6227	0.5948	0.6005	0.8487	0.6883	0.6340	0.1807	0.1618	0.1564	0.4397	0.3956	0.8541	0.6111	0.2486	0.8020	0.3966
Gen31_Mut0_ID16	Gen20_Mut0_ID17	Gen29_Mut0_ID6	-	0.2321	0.5757	0.8143	0.6458	0.9300	0.3651	0.3101	0.0841	0.5480	0.0544	0.6160	0.1792	0.3985	0.4137	0.3413	0.2932	0.5345	0.5540	0.7400	0.7525	0.4082	0.7446	0.7525	0.7525	0.3750	0.3246	0.3638	0.2735	0.1639	0.7190	0.4564	0.3681	0.0570	0.9816	0.6080	0.5752	0.6132	0.5956	0.6326	0.7195	0.9119	0.6735	0.0982	0.2304	0.5634	0.3332	0.4602	0.8248	0.6111	0.4269	0.8624	0.5461
Gen31_Mut0_ID17	Gen29_Mut0_ID6	Gen20_Mut0_ID17	-	0.2647	0.6333	0.8246	0.5776	0.8959	0.4663	0.5260	0.9818	0.5626	0.0593	0.5976	0.2712	0.3561	0.3826	0.3542	0.3857	0.6035	0.7525	0.4009	0.0202	0.7026	0.3786	0.3946	0.4123	0.2946	0.3587	0.6264	0.3431	0.0509	0.5632	0.4651	0.5967	0	0.9817	0.1456	0.5776	0.2488	0.7058	0.6589	0.8805	0.9164	0.4400	0.2281	0.3668	0.4668	0.5309	0.8417	0.9088	0.6161	0.2635	0.8243	0.1376
Gen31_Mut0_ID18	Gen30_Mut0_ID11	Gen29_Mut0_ID11	-	0.1836	0.6498	0.8061	0.7091	0.8248	0.3943	0.4055	0.9489	0.5507	0.0943	0.5367	0.1547	0.0381	0.4749	0.3902	0.3195	0.6504	0.5064	0.4859	0.1147	0.5460	0.3775	0.3541	0.4117	0.3980	0.2395	0.3638	0.3290	0.3667	0.6934	0.4568	0.4096	0.0152	0.9837	0.2569	0.2484	0.0147	0.6355	0.6260	0.3950	0.9642	0.6096	0.6379	0.1535	0.3275	0.3474	0.4082	0.8529	0.6013	0.2497	0.7547	0.2209
Gen31_Mut0_ID19	Gen29_Mut0_ID11	Gen30_Mut0_ID11	-	0.3397	0.6834	0.8140	0.5463	0.9332	0.0397	0.4027	0.9489	0.5507	0.0314	0.6220	0.1997	0.0381	0.3723	0.4006	0.3972	0.6583	0.5246	0.0981	0.0555	0.7001	0.1335	0.3225	0.4178	0.3980	0.2783	0.6970	0.2337	0.2150	0.6934	0.4528	0.1922	0.0167	1	0.1694	0.2484	0.0296	0.6355	0.6367	0.8812	0.9625	0.6166	0.6060	0.3350	0.1856	0.3292	0.4358	0.8564	0.5375	0.2844	0.7997	0.2934
